          target           |                         source                          |      category       
 angolo                    | angle,corner                                            | noun1
 animale                   | animal                                                  | noun2m
 anno                      | year                                                    | noun1
 annoiarsi                 | to get bored                                            | verb
 annuncio                  | announcement                                            | noun1
 antico                    | ancient                                                 | adj1
 antipasto                 | appetizer                                               | noun1
 antipatico                | unlikeable                                              | adj1
 ape                       | bee                                                     | noun2f
 aperto                    | open                                                    | adj1
 apparire                  | to appear                                               | verb
 apparso                   | past of apparire                                        | participle
 appartamento              | apartment                                               | noun1
 appena                    | just,as soon as, barely                                 | adv-conj
 applauso                  | applause                                                | noun1
 approfittare              | to take advantage (1 word)                              | verb
 appuntamento              | appointment                                             | noun1
 appunto                   | note                                                    | noun1
 aprile                    | April                                                   | month
 arancia                   | orange (fruit)                                          | noun1
 arancione                 | orange (color)                                          | adj2
 arbitro                   | referee                                                 | noun1
 archeologia               | archeology                                              | noun1
 architetto                | architect                                               | noun1
 architettura              | architecture                                            | noun1
 arco                      | bow (arrows)                                            | noun1
 armadietto                | locker                                                  | noun1
 armadio                   | armoir                                                  | noun1
 aroma                     | aroma                                                   | noun3
 arrabbiarsi               | to get angry                                            | verb
 arrabbiato                | angry                                                   | adj1
 arrabbiato con            | angry at                                                | phrase
 arrampicarsi              | To climb (refl.)                                        | verb
 arrampicata               | climb (noun)                                            | noun1
 arricciarsi               | to curl one’s hair                                      | verb
 arrivederci               | see you later                                           | greet
 arrivo                    | arrival                                                 | noun1
 arrosto                   | roast                                                   | noun1
 arte                      | art                                                     | noun2f
 artistico                 | artistic                                                | adj1
 ascensore                 | elevator,lift                                           | noun2m
 asciugacapelli            | hair dryer                                              | nouninvm
 asciugamano               | towel                                                   | noun1
 asciugatrice              | dryer                                                   | noun2f
 asciutto                  | dry                                                     | adj1
 asilo                     | asylum                                                  | noun1
 asilo                     | kindergarten                                            | noun1
 aspirapolvere             | vacuum cleaner                                          | noun2m
 aspirina                  | aspirin                                                 | noun1
 assassino                 | assassin, killer                                        | noun1
 asse da stiro             | ironing board                                           | phrase
 assegno                   | bank check                                              | noun1
 assicurazione             | insurance                                               | noun2f
 assolo                    | solo (music)                                            | noun1
 assunzione                | hiring                                                  | noun2f
 atletica                  | athletics                                               | noun1
 atletico                  | athetic                                                 | adj1
 atletico                  | athletic                                                | adj1
 attento                   | attentive,careful                                       | adj1
 attenzione                | attention                                               | noun2
 attesa                    | wait                                                    | noun1
 attimo                    | instant                                                 | noun1
 attività                  | activity                                                | nouninvf
 attivo                    | active                                                  | adj1
 atto                      | act                                                     | noun1
 attore                    | actor                                                   | noun2
 attrice                   | actress                                                 | noun2f
 audace                    | bold,audacious                                          | adj2
 aula                      | classroom                                               | noun1
 aumentare                 | to increase                                             | verb
 aumento                   | increase                                                | noun1
 australiano               | Australian                                              | adj1
 austriaco                 | Austrian                                                | adj1
