          target           |                  source                  |     category     
 medicina                  | medicine                                 | noun1
 medico                    | medical doctor                           | noun1
 medioevo                  | Middle Ages                              | nounsingm
 mela                      | apple                                    | noun1
 melanzana                 | eggplant                                 | noun1
 melone                    | cantaloupe                               | noun2m
 mensa                     | cafeteria                                | noun1
 mensilità                 | monthly payment                          | nouninvf
 menù                      | menu                                     | nouninvm
 mercato                   | market                                   | noun1
 merenda                   | snack                                    | noun1
 mese                      | month                                    | noun2m
 messaggino                | text message                             | noun1
 messaggio                 | message                                  | noun1
 mestiere                  | job, trade (m...)                        | noun2m
 metropolitana             | subway                                   | noun1
 microfono                 | microphone                               | noun1
 microonde                 | microwaves                               | nounplf
 miele                     | honey                                    | noun2m
 migliaio                  | group of thousand                        | numbernoun3
 miglio                    | mile                                     | nounneutr
 migrante                  | migrant                                  | noun2
 milione                   | million                                  | numbernoun2m
 minestrone                | hearty soup, minestrone                  | noun2m
 minuto                    | minute                                   | noun1
 miracolo                  | miracle                                  | noun1
 mirtillo                  | blueberry                                | noun1
 miseria                   | misery                                   | noun1
 mobile                    | mobile, piece of furniture               | adj2-noun2m
 moda                      | fashion                                  | noun1
 modo                      | way, modality                            | noun1
 modulo                    | module                                   | noun1
 moglie                    | wife                                     | noun2f
 mollusco                  | mollusk                                  | noun1
 moneta                    | coin, currency                           | noun1--noun1
 monolocale                | studio apartment                         | noun2m
 montagna                  | mountain                                 | noun1
 montano                   | mountainous                              | noun1
 monumento                 | monument                                 | noun1
 mora                      | blackberry                               | noun1
 morbillo                  | measles                                  | nounsingm
 morso                     | bite                                     | noun1
 mortadella                | baloney, mortadella                      | noun1--noun1
 mostra                    | exhibit                                  | noun1
 motocicletta              | motorbike                                | noun1
 motore                    | engine                                   | noun2m
 motorino                  | moped                                    | noun1
 mozione                   | (legal) motion                           | noun2f
 mucca                     | cow                                      | noun1
 multa                     | fine                                     | noun1
 mura                      | city walls                               | nounplf
 muratore                  | mason worker                             | noun2m
 muro                      | wall                                     | noun1
 muschio                   | moss                                     | nounsingm
 muscoli                   | mussels                                  | nounplm
 musica                    | music                                    | noun1
 musicista                 | musician                                 | noun3
 mutande                   | underwear                                | nounplf
 nasino                    | little nose                              | noun1
 naso                      | nose                                     | noun1
 natura                    | nature                                   | noun1
 nausea                    | nausea                                   | noun1
 nave                      | ship                                     | noun2f
 nazionalità               | nationality                              | nouninvf
 negoziante                | shopkeeper, fem.                         | noun2f
 negoziante                | shopkeeper, masc.                        | noun2m
 negozio                   | shop, store                              | noun1
 neonato                   | newborn                                  | noun1
 netturbino                | street sweeper                           | noun1
 neve                      | snow                                     | noun2f
 nido                      | nest                                     | noun1
 ninna nanna               | lullaby                                  | nounsingf
 nipote                    | nephew                                   | noun2m
 nipote                    | niece                                    | noun2f
 nocciolina                | peanut                                   | noun1
 noi stessi                | ourselves                                | pronoun
 noia                      | boredom                                  | noun1
 nome                      | name                                     | noun2m
 nonna                     | grandma                                  | noun1
 nonno                     | grandpa                                  | noun1
 nostalgia                 | nostalgia                                | nounsingf
 notte                     | night                                    | noun2f
 numero                    | number                                   | noun1
 nuora                     | daughter in law                          | noun1
 nuoto                     | sport of swimming                        | noun1
 nuvola                    | cloud                                    | noun1
 occasione                 | occasion, opportunity                    | noun2f
 occhiali                  | eyeglasses                               | nounplm
 occhiali da sole          | sunglasses                               | nounplm
 occhiata                  | glance                                   | noun1
 occhio                    | eye                                      | noun1
 occupazione               | occupation, employment                   | noun2f
 oceano                    | ocean                                    | noun1
 offerta                   | offer                                    | noun1
 oggetto                   | object                                   | noun1
 olio                      | oil                                      | noun1
 olio d'oliva              | olive oil                                | nounsingm
 oliva                     | olive                                    | noun1
 ombrello                  | umbrella                                 | noun1
 onda                      | ripple,wave                              | noun1
 opera                     | piece of work                            | noun1
 opera d'arte              | work of art                              | nounsingf
 opera lirica              | opera                                    | nounsingf
 operaia                   | female worker                            | noun1
 operaio                   | male worker                              | noun1
 opere d'arte              | works of art                             | nounplf
 opere liriche             | operas                                   | nounplf
 ora                       | hour, now                                | noun1--adv
 orario                    | schedule                                 | noun1
 orchestra                 | orchestra                                | noun1
 ordine                    | order                                    | noun2m
 orecchie                  | ears                                     | nounplf
 orecchio                  | ear                                      | nounsingm
 orizzonte                 | horizon                                  | noun2m
 orologio                  | watch, clock                             | noun1
 orrore                    | horror                                   | noun2m
 orso                      | bear                                     | noun1
 ospedale                  | hospital                                 | noun2m
 osservatore               | (male) observer                          | noun2m
 osservatrice              | (fem.) observer                          | noun2f
 ostello della gioventù    | youth hostel                             | nouncomp1
 osteria                   | inn                                      | noun1
 ottimista                 | optimist                                 | noun3
 ottocento                 | 1800s                                    | nounsingm
 ovest                     | west                                     | nounsingm
 pacco                     | package                                  | noun1
 padre                     | father                                   | noun2m
 padrona                   | owner (f.)                               | noun1f
 padrone                   | owner (m.)                               | noun2m
 paesaggio                 | landscape                                | noun1
 paese                     | town, Country                            | noun2m
 paio                      | pair                                     | nounneutr
 palazzo                   | palace                                   | noun1
 palco                     | stage                                    | noun1
 palestra                  | gym                                      | noun1
 pallacanestro             | basketball                               | nounsingf
 pallavolo                 | volleyball                               | nounsingf
 pallone                   | sports ball                              | noun2m
 pancetta                  | bacon                                    | noun1
 panchina                  | bench                                    | noun2f
 pane                      | bread                                    | noun2m
 panetteria                | bakery                                   | noun1
 pannello                  | panel                                    | noun1
 panorama                  | panorama                                 | noun3
 pantaloncini              | shorts                                   | nounplm
 pantaloni                 | pants                                    | noun1pl
 pantofola                 | slipper                                  | noun1
 papà                      | daddy                                    | nouninvm
 parco                     | park                                     | noun1
 parente                   | relative                                 | noun2
 parete                    | inner wall                               | noun2f
 parlamento                | parliament                               | noun1
 parolaccia                | swear word                               | noun1
 parrucchiera              | hairdresser (f.)                         | noun1
 parrucchiere              | hair dresser (m.)                        | noun2m
 parte                     | part                                     | noun2f
 partenza                  | departure                                | noun1
 particolare               | detail (p...)                            | noun2m
 partita                   | game, match                              | noun1
 passaggio                 | passage                                  | noun1
 passaporto                | passport                                 | noun1
 passatempo                | passtime                                 | noun1
 passato                   | past                                     | noun1
 passeggera                | passenger (f.)                           | noun1
 passeggero                | passenger (m.)                           | noun1
 passeggiata               | stroll                                   | noun1
 passo                     | step (walk)                              | noun1
 pasta                     | pasta, dough                             | noun1
 pasticceria               | pastry, pastry shop                      | noun1
 pasto                     | meal                                     | noun1
 patata                    | potato                                   | noun1
 patente                   | driver's license                         | noun2f
 patrigno                  | stepfather                               | noun1
 patrimonio                | patrimony                                | noun1
 patto                     | pact                                     | noun1
 paura                     | fear                                     | noun1
 pausa                     | pause, break                             | noun1
 pavimento                 | floor (as in "pavement")                 | noun1
 paziente                  | patient                                  | noun2
 peccato                   | sin                                      | noun1
 pecora                    | sheep                                    | noun1
 pedagogia                 | pedagogy, education                      | noun1
 pedone                    | pedestrian                               | noun2m
 pelle                     | skin                                     | noun2f
 pendolare                 | commter                                  | noun2
 penna                     | pen                                      | noun1
 pensiero                  | thought                                  | noun1
 pensione                  | retirement, pension, boarding house      | noun2f
 pepe                      | black pepper                             | noun2m
 peperone                  | bell pepper                              | noun2m
 pera                      | pear                                     | noun1
 percentuale               | percentage                               | noun2f
 perdita                   | loss                                     | noun1
 pericolo                  | danger                                   | noun1
 periodo                   | period                                   | noun1
 persona                   | person                                   | noun1
 personaggio               | character                                | noun1
 pesca                     | peach                                    | noun1
 pesce                     | fish                                     | noun2
 pescheria                 | fish shop                                | noun1
 peso                      | weigh                                    | noun1
 pessimista                | pessimist                                | noun3--adj3
 pettine                   | comb                                     | noun2m
 petto                     | chest                                    | noun1
 pezzo                     | piece                                    | noun1
 piacere                   | favor (p...)                             | noun2m
 piacere                   | pleasure                                 | noun2m
 pianeta                   | planet                                   | noun3
 pianista                  | pianist                                  | noun3
 piano                     | floor (as in "3rd floor")                | noun1
 piano                     | piano                                    | noun1
 piano                     | plan                                     | noun1
 piano cottura             | stove top                                | nouncomp1
 pianta                    | plant                                    | noun1
 piatto                    | plate                                    | noun1
 piazza                    | plaza                                    | noun1
 picnic                    | picnic                                   | nouninvm
 piede                     | foot                                     | noun2m
 pietra                    | stone                                    | noun1
 pietra                    | stone,rock                               | noun1
 pigiama                   | pajama                                   | noun3
 pillola                   | pill                                     | noun1
 pineta                    | pine grove                               | noun1
 pino                      | pine tree                                | noun1
 pioggia                   | rain                                     | noun1
 pirata                    | pirate                                   | noun3
 piscina                   | swimming pool                            | noun1
 pisolino                  | nap (p...)                               | noun1
 pittore                   | painter, m.                              | noun2m
 pittrice                  | painter, f.                              | noun2f
 pittura                   | art of painting                          | noun1
 pizzeria                  | pizza parlor                             | noun1
 pizzico                   | pinch                                    | noun1
 platea                    | orchestra seating                        | noun1
 poema                     | long poem                                | noun3
 poesia                    | poetry, poem                             | noun1f
 poeta                     | man poet                                 | noun3
 poetessa                  | woman poet                               | noun1
 poliziotta                | police woman                             | noun1
 poliziotto                | policeman                                | noun1
 poltrona                  | armchair                                 | noun1
 pomeriggio                | afternoon                                | noun1
 pomodoro                  | tomato                                   | noun1
 pompiera                  | fire woman                               | noun1
 pompiere                  | fireman                                  | noun2m
 ponte                     | bridge                                   | noun2m
 porcile                   | pig stye                                 | noun2m
 porta                     | door                                     | noun1
 portiera                  | car door                                 | noun1
 portiera                  | door woman                               | noun1
 portiere                  | doorman                                  | noun2m
 portiere                  | goal keeper                              | noun2m
 posizione                 | position                                 | noun2f
 posta                     | mail                                     | noun1
 postina                   | mail woman                               | noun1
 postino                   | mail man                                 | noun1
 posto                     | place                                    | noun1
 potere                    | power (political)                        | noun2m
 pranzo                    | lunch                                    | noun1
 prato                     | lawn                                     | noun1
 premio                    | prize                                    | noun1
 prenotazione              | reservation                              | noun2f
 presentazione             | presentation                             | noun2f
 prestito                  | loan                                     | noun1
 previsione                | prediction, forecast                     | noun2f
 primavera                 | springitme                               | noun1
 primogenito               | first born                               | noun1--adj1
 problema                  | problem                                  | noun3
 prodotto                  | product                                  | noun1
 professione               | profession                               | noun2f
 professore                | male professor                           | noun2m
 professoressa             | female professor                         | noun2f
 profondità                | depth                                    | nouninvf
 profumeria                | parfume shop                             | noun1
 profumo                   | perfume                                  | noun1
 progetto                  | project                                  | noun1
 programma                 | program                                  | noun3
 proiezione                | projection                               | noun2f
 promozione                | promotion                                | noun2f
 proprietaria              | female owner, propietor                  | noun1
 proprietario              | male owner, proprietor                   | noun1
 prosciutto                | ham                                      | noun1
 prosciutto cotto          | cooked ham                               | nouninvm
 prosciutto crudo          | raw,cured ham                            | nounsingm
 protezione                | protection                               | noun2f
 pseudonimo                | pseudonim                                | noun1
 psicologa                 | female psychologist                      | noun1
 psicologo                 | male psychologist                        | noun1
 pulizia                   | cleanliness, cleaning                    | noun1
 pullman                   | bus, coach                               | nouninvm
 puntura                   | injection, puncture                      | noun1
 quaderno                  | notebook                                 | noun1
 quadro                    | picture, painting                        | noun1
 qualifica                 | qualification                            | noun1
 quantità                  | quantity                                 | nouninvf
 quartiere                 | neighborhood                             | noun2m
 quercia                   | oak                                      | noun1
 questura                  | central police station                   | noun1
 raccomandata              | registered mail                          | noun1
 raccomandazione           | recommendation                           | noun2f
 racconto                  | tale                                     | noun1
 radice                    | root                                     | noun2f
 radio                     | radio                                    | nouninvf
 radura                    | clearing, glade                          | noun1
 raffreddore               | cold (as in "a cold")                    | noun1
 ragazza                   | girl                                     | noun1
 ragazzaccia               | bad girl                                 | noun1
 ragazzaccio               | bad boy                                  | noun1
 ragazzi                   | young people                             | nounplm
 ragazzo                   | boy                                      | noun1
 ragione                   | reason                                   | noun2f
 ramo                      | branch                                   | noun1
 rappresentazione          | performance                              | noun2f
 rappresentazione dal vivo | live performance                         | nouncomp2f
 rasoio                    | razor                                    | noun1
 rata                      | installment                              | noun1
 recensione                | review (as in "movie review")            | noun2f
 referenze                 | references                               | nounplf
 regista                   | film director                            | noun3
 registratore              | recorder                                 | noun2m
 relazione                 | relationship                             | noun2f
 religione                 | religion                                 | noun2f
 respiro                   | breath                                   | noun1
 resto                     | rest (noun, as in "the rest")            | noun1
 rete                      | network                                  | noun2f
 riccio                    | sea urchin, hedgehog                     | noun1
 ricciolo                  | curl                                     | noun1
 ricetta                   | recipe                                   | noun1
 richiesta                 | request                                  | noun1
 riciclaggio               | recycling                                | noun1
 riconoscimento            | recognition, acknowledgement             | noun1
 rifiuti                   | waste                                    | nounplm
 riflessione               | reflection (thought)                     | noun2f
 riflesso                  | reflex (science, sport)                  | noun1
 riga                      | line (written)                           | noun1
 rimborso                  | reimbursement                            | noun1
 rinascimento              | Renaissance, rebirth                     | noun1
 ripresa                   | video shooting                           | noun1
 riscaldamento             | heating, warming                         | noun1
 riso                      | rice                                     | noun1
 risorse umane             | human resources                          | nounplf
 risparmio                 | savings                                  | nounsingm
 risposta                  | answer                                   | noun1
 ristorante                | restaurant                               | noun2m
 risultato                 | result                                   | noun1
 ritardo                   | delay                                    | noun1
 rito                      | ritual                                   | noun1
 ritratto                  | portrait                                 | noun1
 riunione                  | reunion, meeting                         | noun2f
 riviera                   | coastline                                | noun1
 rivista                   | magazine, review                         | noun1
 roba                      | stuff                                    | noun1
 roccia                    | rock, stone                              | noun1
 romanzo                   | novel                                    | noun1
 rondine                   | swallow (bird)                           | noun2f
 rosa                      | rose                                     | noun1
 rossetto                  | lipstick                                 | noun1
 rotonda                   | traffic circle                           | noun1
 rubrica                   | address book                             | noun1
 rubrica                   | column (magazine)                        | noun1
 ruga                      | wrinkle                                  | noun1
 rumore                    | noice                                    | noun1m
 ruolo                     | role                                     | noun1
 ruscello                  | creek                                    | noun1
 sacco                     | sack, bag                                | noun1
 sala                      | hall                                     | noun1
 sala da pranzo            | dining room                              | nouncomp1
 salame                    | salami                                   | noun2m
 salario                   | salary                                   | noun1
 saldi                     | sales                                    | nounplm
 sale                      | salt                                     | noun2m
 salotto                   | living room (sa...)                      | noun1
 salsiccia                 | sausage                                  | noun1
 salumeria                 | del                                      | noun1
 salumeria                 | deli                                     | noun1
 salute                    | health                                   | noun2f
 saluto                    | greeting                                 | noun1
 salve                     | hello                                    | noun2f
 sandalo                   | sandal                                   | noun1
 sangue                    | blood                                    | noun1m
 sapone                    | soap                                     | noun2m
 sasso                     | pebble, rock, stone (s...)               | noun1
 sassofono                 | saxophone                                | noun1
 sbarco                    | disembarkment                            | noun1
 scacchi                   | chess                                    | nounplm
 scaffale                  | bookshelf                                | noun2m
 scala                     | ladder, staircase                        | noun1
 scalino                   | step (of a staircase)                    | noun1
 scalino                   | step, (stairs, sc...)                    | noun1
 scappamento               | exhaust pipe                             | noun1
 scarpa                    | shoe                                     | noun1
 scatola                   | box                                      | noun1
 scelta                    | choice                                   | noun1
 scena                     | scene                                    | noun1
 schema                    | scheme                                   | noun3
 schermo                   | screen                                   | noun1
 scherzo                   | practical joke                           | noun1
 schiena                   | back (body)                              | noun1
 schiuma da barba          | shaving foam                             | phrasal-noun
 sci                       | ski                                      | nouninvarm
 sciarpa                   | scarf                                    | noun1
 scienza                   | science                                  | noun1
 scienziato                | scientist                                | noun1
 scodella                  | bowl                                     | noun1
 scodinzolo                | tail waggin                              | noun1
 scogliera                 | cliff                                    | noun1
 scoiattolo                | squirrel                                 | noun1
 scopa                     | broom                                    | noun1
 scoperta                  | discovery                                | noun1
 scoria                    | waste                                    | noun1
 scottatura                | skin burn                                | noun1
 scrittore                 | writer, masc.                            | noun2m
 scrittrice                | writer, fem.                             | noun2f
 scrivania                 | writing desk                             | noun1
 scultore                  | sculptor, m.                             | noun2m
 scultrice                 | sculptor, f.                             | noun2f
 scultura                  | sculpture                                | noun1
 scuola                    | school                                   | noun1
 scuola elementare         | elementary school                        | noun1-adj2
 scuola media              | middle school                            | noun1-adj1
 scuola superiore          | high school                              | noun1-adj2
 sdegno                    | disdain                                  | noun1
 secchio                   | bucket                                   | noun1
 secchiona                 | geek (female)                            | noun2f
 secchione                 | geek (male)                              | noun2m
 sede                      | headquarters (sing.)                     | noun2f
 sedere                    | butt (s...)                              | noun2m
 sedia                     | chair                                    | noun1
 segretaria                | woman secretary                          | noun1
 segretario                | man secretary                            | noun1
 segreteria                | secretary's offfice                      | noun1
 segreteria telefonica     | voice mail                               | nouncomp1
 semaforo                  | traffic light                            | noun1
 seminario                 | seminar                                  | noun1
 seminterrato              | basement                                 | noun1
 sensazione                | feeling, sensation                       | noun2f
 senso                     | sense                                    | noun1
 sentenza                  | sentence (judge)                         | noun1
 sentiero                  | path                                     | noun1
 sera                      | evening                                  | noun1
 serata                    | evening (activities/weather)             | noun1
 serpente                  | snake                                    | noun2m
 serra                     | green house                              | noun1
 servizio                  | service                                  | noun1
 seta                      | silk                                     | noun1
 sete                      | thirst                                   | noun2f
 settimana                 | week                                     | noun1
 settore                   | sector                                   | noun2m
 sfollata                  | evacuee (woman)                          | noun1
 sfollato                  | evacuee (man)                            | noun1
 sfortuna                  | misfortune                               | noun1
 sguardo                   | gaze                                     | noun1
 shampoo                   | shampoo                                  | nouninvm
 siccità                   | drought                                  | nouninvf
 sicuro                    | safe/sure                                | noun1
 signor                    | Mister                                   | nounsingm
 signora                   | lady                                     | noun1
 signore                   | gentleman (s...)                         | noun2m
 signorina                 | Miss                                     | noun1
 sindacato                 | trade union                              | noun1
 sintomo                   | symptom                                  | noun1
 sistema                   | system                                   | noun3
 sito                      | site                                     | noun1
 situazione                | situation                                | noun2
 smog                      | smog                                     | nouninvm
 società                   | society                                  | nouninvf
 socio                     | partner                                  | noun1
 soffitto                  | ceiling                                  | noun1
 soggiorno                 | living room                              | noun1
 sogno                     | dream                                    | noun1
 soldato                   | soldier                                  | noun1
 soldi                     | money                                    | nounplm
 sole                      | sun                                      | noun2m
 soluzione                 | solution                                 | noun2f
 somministrazione          | somministration                          | noun2
 sonno                     | sleepiness                               | noun1
 sopracciglio              | eyebrow                                  | nounneutr
 sorella                   | sister                                   | noun1
 sorellina                 | little sister                            | noun1
 sorpresa                  | surprise                                 | noun1
 sorriso                   | smile                                    | noun1
 sospetto                  | suspect                                  | noun1
 sosta                     | pit stop                                 | noun1
 spalla                    | shoulder                                 | noun1
 spazzatura                | garbage                                  | noun1
 spazzino                  | street sweeper                           | noun1
 spazzola                  | brush                                    | noun1
 spazzolino                | toothbrush                               | noun1
 specchio                  | mirror                                   | noun1
 specialista               | specialist                               | noun3
 specializzazione          | specialization                           | noun2
 specie                    | species                                  | noun2f
 spesa                     | expense                                  | noun1
 spettacolo                | spectacle, show                          | noun1
 spettatore                | male spectator                           | noun2m
 spettatrice               | female spectator                         | noun2f
 spiaggia                  | beach                                    | noun1
 spiegazione               | explanation                              | noun2f
 spirito                   | spirit                                   | noun1
 sport                     | sport                                    | nouninvm
 sportello                 | teller, car door                         | noun1
 spreco                    | waste                                    | noun1
 spumante                  | sparkling white wine                     | noun2m
 spuntino                  | snack                                    | noun1
 squadra                   | team                                     | noun1
 stadio                    | stadium                                  | noun1
 stage                     | internship                               | nouninvm
 stagione                  | season                                   | noun2
 stagista                  | intern                                   | noun3
 stampante                 | printer                                  | noun2f
 stanza                    | room (s...)                              | noun1
 statua                    | statue                                   | noun1
 statura                   | height, stature                          | noun1
 stazione                  | station                                  | noun2
 stella                    | star                                     | noun1
 stereo                    | stereo                                   | nouninvm--adjinv
 stilista                  | stylist                                  | noun3
 stipendio                 | salary                                   | noun1
 stivale                   | boot                                     | noun2m
 stomaco                   | stomach                                  | noun1
 storia                    | story, history                           | noun1
 strada                    | street, road                             | noun1
 stradina                  | little (narrow) street                   | noun1
 stranezza                 | strange thing (1 word)                   | noun1
 straniero                 | foreigner                                | noun1
 stringa                   | shoelace                                 | noun1
 strisce pedonali          | pedestrian crossing                      | nounplf
 strumento                 | instrument                               | noun1
 studente                  | male student                             | noun2m
 studentessa               | female student                           | noun2f
 studio                    | study                                    | noun1
 studio                    | study room                               | noun1
 successo                  | success                                  | noun1
 succo                     | jouice                                   | noun1
 sugo                      | sauce                                    | noun1
 suocera                   | mother in law                            | noun1
 suora                     | nun                                      | noun1
 supplemento               | supplement                               | noun1
 svago                     | diversion                                | noun1
 sveglia                   | alarm clock, wake up call                | noun1
 sé                        | self                                     | pronoun
 tabaccheria               | tobacco shop                             | noun1
 taglia                    | size                                     | noun1
 tailleur                  | women jacket                             | nouninvm
 tamburo                   | drum                                     | noun1
 tappeto                   | rug                                      | noun1
 tariffa                   | fee                                      | noun1
 tassista                  | taxi driver                              | noun3
 tassì                     | taxi                                     | nouninvm
 tastiera                  | keyboard                                 | noun1
 tavola                    | home table                               | noun1
 tavoletta                 | tablet                                   | noun1
 tavolo                    | table                                    | noun1
 tazza                     | cup                                      | noun1
 teatro                    | theatre                                  | noun1
 tecnico                   | technician                               | noun1
 tecnologia                | technology                               | noun1
 telecomando               | remote control                           | noun1
 telefono                  | telephone                                | noun1
 televisione               | television                               | noun2f
 televisore                | tv set                                   | noun2m
 tema                      | theme, composition                       | noun3
 tempaccio                 | bad weather (1 word, pejorative)         | noun1
 tempo                     | time (in general)                        | noun1
 tempo                     | weather                                  | noun1
 temporale                 | storm (...-e)                            | noun2m
 tenda                     | curtain, tent                            | noun1
 tenda                     | tent                                     | noun1
 tennis                    | tennis                                   | nounsingm
 teorema                   | theorem                                  | noun3
 tergicristallo            | winshield wiper (1 word )                | noun1
 termine                   | term                                     | noun2m
 termometro                | thermometer                              | noun1
 terrazza                  | terrace                                  | noun1
 terremoto                 | earthquake                               | noun1
 tesina                    | essay, research paper                    | noun1
 tesina                    | research paper (1 word)                  | noun1
 tesoro                    | treasure                                 | noun1
 testa                     | head                                     | noun1
 testimonianza             | testimony                                | noun1
 testo                     | text                                     | noun1
 tetto                     | roof                                     | noun1
 tinta                     | shade of color                           | noun1
 tintoria                  | laundry, t...                            | noun1
 tipo                      | type                                     | noun1
 tirocinio                 | internship                               | noun1
 tizio                     | guy                                      | noun1
 tomba                     | tomb                                     | noun1
 topo                      | mouse                                    | noun1
 topolino                  | little mouse                             | noun1
 tormenta                  | storm (t...)                             | noun1
 tornado                   | tornado                                  | nouninvm
 toro                      | bull                                     | noun1
 torre                     | tower                                    | noun2f
 torta                     | cake                                     | noun1
 tosse                     | cough                                    | noun2f
 tostapane                 | toaster                                  | nouninvm
 tovaglia                  | table cloth                              | noun1
 tovagliolo                | napkin                                   | noun1
 traduzione                | translation                              | noun2f
 traffico                  | traffic                                  | noun1
 tragedia                  | tragedy                                  | noun1
 traghetto                 | ferry boat                               | noun1
 trama                     | plot                                     | noun1
 tramonto                  | sunset                                   | noun1
 trasporto                 | transportation                           | noun1
 trattoria                 | cafè, family style restaurant            | noun1
 trauma                    | trauma                                   | noun3
 treccia                   | braid                                    | noun1
 treccina                  | small braids                             | noun1
 treno                     | train                                    | noun1
 triangolo                 | triangle                                 | noun1
 tribuna                   | tribune                                  | noun1
 tribunale                 | court room                               | noun2m
 trimestre                 | trimester                                | noun2m
 tromba                    | trumpet                                  | noun1
 trucco                    | trick                                    | noun1
 tuono                     | thunder                                  | noun1
 tutti                     | everybody                                | nounplm
 tè                        | tea                                      | nouninvm
 uccello                   | bird                                     | noun1
 ufficio                   | office                                   | noun1
 umanità                   | humanity, mankind                        | nouninvf
 umidità                   | humidity                                 | nouninvf
 università                | university                               | nouninvf
 uomini                    | men                                      | nounplm
 uomo                      | man                                      | nounsingmn
 uova                      | eggs                                     | nounplf
 uovo                      | egg                                      | nounsingm
 uscita                    | exit                                     | noun1
 uva                       | grape                                    | noun1
 vacanza                   | vacation                                 | noun1
 valigetta                 | briefcase                                | noun1
 valigia                   | suitcase                                 | noun1
 valle                     | valley                                   | noun2f
 vapore                    | steam                                    | noun2m
 varicella                 | small pox                                | nounsingf
 vasca da bagno            | bath tub                                 | nouncomp1
 vaso                      | vase                                     | noun1
 vedova                    | widow, f.                                | noun1
 vedovo                    | widow, m                                 | noun1
 vela                      | sail                                     | noun1
 vento                     | wind                                     | noun1
 verdetto                  | verdict                                  | noun1
 verdura                   | vegetables                               | nounsingm
 vestiti                   | clothes                                  | nounplm
 vestito                   | suit, dress (v...)                       | noun1
 veterinario               | veterinary                               | noun1
 vetrina                   | shop window                              | noun1
 vetro                     | glass                                    | noun1
 vi                        | you all (object)                         | pronoun
 viaggiatore               | traveler (masc.)                         | noun2m
 viaggiatrice              | traveler (fem.)                          | noun2f
 viaggio                   | trip                                     | noun1
 vicino                    | neighbor                                 | noun1
 vicolo                    | alley                                    | noun1
 videocamera               | videocamera                              | noun1
 villa                     | villa                                    | noun1
 villaggio turistico       | resort                                   | nouncomp1
 vino                      | wine                                     | noun1
 viola                     | viola                                    | noun1
 violino                   | violin                                   | noun1
 visita                    | visit                                    | noun1
 viso                      | face (v...)                              | noun1
 vista                     | sight, view                              | noun1
 vita                      | life                                     | noun1
 voce                      | voice                                    | noun2f
 voglia                    | desire (v...)                            | noun1
 volante                   | steering wheel                           | noun2m
 volo                      | flight                                   | noun1
 volta                     | time, as in "three times"                | noun1
 vongola                   | clam                                     | noun1
 voto                      | grade (on a test)                        | noun1
 voto                      | vote                                     | noun1
 voto                      | vow                                      | noun1
 yogurt                    | yogurt                                   | nouninvm
 zaino                     | backpack                                 | noun1
 zia                       | aunt                                     | noun1fam
 zio                       | uncle                                    | noun1fam
 zuppa                     | soup (z...)                              | noun1
(1431 rows)

